사이트,시작일,종료일,구좌,브랜드,상품명,프로모션,사은품/주요 메세지,프로모션 출력,상품코드 1,상품코드 2,상품코드 3,상품코드 4,상품코드 5,상품코드 6,상품코드 7,상품코드 8,상품코드 9
홈앤쇼핑,2024- 08-21,2024- 08-22,!숏라이브,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,37288192,,,,,,,,
GS이숍,2024- 08-19,2024- 08-21,!체험팩,ROERANCE,핸드워시,ROERANCE | 핸드워시,1+1,ROERANCE | 핸드워시@1+1,1008779285001,,,,,,,,
GS이숍,2024- 08-22,2024- 08-23,!체험팩,PEDISON 바디,여성청결제,PEDISON 바디 | 여성청결제,1+1,PEDISON 바디 | 여성청결제@1+1,18182254,,,,,,,,
G마켓,2024- 08-28,2024- 08-29,!슈퍼딜,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,832114998,,,,,,,,
G마켓,2024- 08-29,2024- 08-30,!슈퍼딜,BATHPA,스크럽워시,BATHPA | 스크럽워시,,BATHPA | 스크럽워시@,2397735259,,,,,,,,
옥션,2024- 08-31,2024- 09-02,!올킬,ROERANCE,바디미스트,ROERANCE | 바디미스트,2+1,ROERANCE | 바디미스트@2+1,B619607455,,,,,,,,
옥션,2024- 08-28,2024- 08-29,!올킬,BATHPA,스크럽워시,BATHPA | 스크럽워시,,BATHPA | 스크럽워시@,C561340751,,,,,,,,
옥션,2024- 08-27,2024- 08-28,!생필원데이,ROERANCE,바디미스트,ROERANCE | 바디미스트,2+1,ROERANCE | 바디미스트@2+1,B619607455,,,,,,,,
홈앤쇼핑,2024- 08-23,2024- 08-26,!파트너딜,CERACLINIC,프로테인퀀치,CERACLINIC | 프로테인퀀치,1+1,CERACLINIC | 프로테인퀀치@1+1,39931077,49065510,40299861,,,,,,
GS이숍,2024- 08-25,2024- 08-26,!만원의행복,PEDISON 바디,여성청결제,PEDISON 바디 | 여성청결제,1+1,PEDISON 바디 | 여성청결제@1+1,18182254,,,,,,,,
GS이숍,2024- 08-26,2024- 08-28,!만원의행복,ROERANCE,핸드워시,ROERANCE | 핸드워시,,ROERANCE | 핸드워시@,1008779285,,,,,,,,
그립,2024- 09-06,2024- 09-09,!라이브,MIMI 모먼트,미미로린스,MIMI 모먼트 | 미미로린스,,MIMI 모먼트 | 미미로린스@,qk9xwvpx,q38oxz4e,q7kljexo,qgrwj1wv,nyyevgmy,n8r6eoow,5lomd36l,,
그립,2024- 09-10,2024- 09-11,!라이브,FRAIJOUR,진세노사이드,FRAIJOUR | 진세노사이드,,FRAIJOUR | 진세노사이드@,1008779285001,,,,,,,,
그립,2024- 09-11,2024- 09-12,!라이브,ROSEMINE,로즈마인,ROSEMINE | 로즈마인,,ROSEMINE | 로즈마인@,1008779285001,,,,,,,,
그립,2024- 09-25,2024- 09-26,!라이브,BATHPA,바스파,BATHPA | 바스파,,BATHPA | 바스파@,1008779285001,,,,,,,,
GS이숍,2024- 09-03,2024- 09-04,!타임특가,ROSEMINE,로즈마인,ROSEMINE | 로즈마인,5+1,ROSEMINE | 로즈마인@5+1,1059355721001,,,,,,,,
G마켓,2024- 08-29,2024- 08-30,!슈퍼딜,CHARCHAR,어성초 캡슐샴푸,CHARCHAR | 어성초 캡슐샴푸,,CHARCHAR | 어성초 캡슐샴푸@,3982684887,,,,,,,,
홈앤쇼핑,2024- 08-30,2024- 09-02,!파트너딜,ROSEMINE,스팀소프트,ROSEMINE | 스팀소프트,5+1,ROSEMINE | 스팀소프트@5+1,38745287,,,,,,,,
G마켓,2024- 09-01,2024- 09-02,!슈퍼딜,MIMI 모먼트,핸드워시,MIMI 모먼트 | 핸드워시,1+1,MIMI 모먼트 | 핸드워시@1+1,1621412261,,,,,,,,
홈앤쇼핑,2024- 09-05,2024- 09-09,!파트너딜,ROSEMINE,스팀소프트,ROSEMINE | 스팀소프트,5+1,ROSEMINE | 스팀소프트@5+1,38745287,,,,,,,,
홈앤쇼핑,2024- 09-06,2024- 09-09,!파트너딜,CERACLINIC,프로테인퀀치,CERACLINIC | 프로테인퀀치,1+1,CERACLINIC | 프로테인퀀치@1+1,39931077,49065510,40299861,,,,,,
GS이숍,2024- 09-02,2024- 09-02,!명절선물관,ROSEMINE,스팀소프트,ROSEMINE | 스팀소프트,5+1,ROSEMINE | 스팀소프트@5+1,1059355721001,,,,,,,,
옥션,2024- 09-07,2024- 09-09,!올킬,ROSEMINE,스팀소프트,ROSEMINE | 스팀소프트,5+1,ROSEMINE | 스팀소프트@5+1,B897947013,,,,,,,,
옥션,2024- 09-08,2024- 09-09,!올킬,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,B619607455,,,,,,,,
G마켓,2024- 09-11,2024- 09-12,!슈퍼딜,BATHPA,스크럽워시,BATHPA | 스크럽워시,,BATHPA | 스크럽워시@,2397735259,,,,,,,,
G마켓,2024- 09-14,2024- 09-19,!슈퍼딜,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,832114998,,,,,,,,
옥션,2024- 09-11,2024- 09-12,!올킬,ROSEMINE,스팀소프트,ROSEMINE | 스팀소프트,5+1,ROSEMINE | 스팀소프트@5+1,B897947013,,,,,,,,
옥션,2024- 09-12,2024- 09-13,!올킬,CHARCHAR,헤어세럼,CHARCHAR | 헤어세럼,,CHARCHAR | 헤어세럼@,B687962411,,,,,,,,
GS이숍,2024- 09-12,2024- 09-13,!만원의행복,PEDISON 바디,여성청결제,PEDISON 바디 | 여성청결제,1+1,PEDISON 바디 | 여성청결제@1+1,18182254,18182254004,18182254003,18182254005,18182254006,18182254001,18182254002,,
GS이숍,2024- 09-17,2024- 09-19,!타임특가,FRAIJOUR,약쑥토너,FRAIJOUR | 약쑥토너,1+1,FRAIJOUR | 약쑥토너@1+1,21606783003,,,,,,,,
GS이숍,2024- 09-21,2024- 09-23,!타임특가,CERACLINIC,노워시트리트먼트,CERACLINIC | 노워시트리트먼트,1+1,CERACLINIC | 노워시트리트먼트@1+1,99116306001,,,,,,,,
G마켓,2024- 09-17,2024- 09-19,!슈퍼딜,BATHPA,스크럽워시,BATHPA | 스크럽워시,,BATHPA | 스크럽워시@,2397735259,,,,,,,,
G마켓,2024- 09-19,2024- 09-20,!슈퍼딜,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,832114998,,,,,,,,
G마켓,2024- 09-20,2024- 09-23,!슈퍼딜,ROSEMINE,스팀소프트,ROSEMINE | 스팀소프트,5+1,ROSEMINE | 스팀소프트@5+1,465423945,,,,,,,,
G마켓,2024- 09-20,2024- 09-23,!슈퍼딜,MIMI 모먼트,핸드워시,MIMI 모먼트 | 핸드워시,1+1,MIMI 모먼트 | 핸드워시@1+1,1621412261,,,,,,,,
G마켓,2024- 09-21,2024- 09-23,!슈퍼딜,PEDISON 바디,여성청결제,PEDISON 바디 | 여성청결제,1+1,PEDISON 바디 | 여성청결제@1+1,483648529,,,,,,,,
G마켓,2024- 09-23,2024- 09-24,!슈퍼딜,BATHPA,스크럽워시,BATHPA | 스크럽워시,,BATHPA | 스크럽워시@,2397735259,,,,,,,,
옥션,2024- 09-18,2024- 09-19,!올킬,ROSEMINE,키스바이핸드크림,ROSEMINE | 키스바이핸드크림,x4,ROSEMINE | 키스바이핸드크림@x4,B615183169,,,,,,,,
옥션,2024- 09-22,2024- 09-23,!올킬,ROSEMINE,퍼퓸드핸드크림,ROSEMINE | 퍼퓸드핸드크림,x5,ROSEMINE | 퍼퓸드핸드크림@x5,B743043434,,,,,,,,
옥션,2024- 09-23,2024- 09-24,!올킬,BATHPA,스크럽워시,BATHPA | 스크럽워시,,BATHPA | 스크럽워시@,C561340751,,,,,,,,
그립,2024- 10-08,2024- 10-09,!라이브,ROERANCE,바디미스트,ROERANCE | 바디미스트,,ROERANCE | 바디미스트@,1008779285001,,,,,,,,
G마켓,2024- 09-29,2024- 09-30,!슈퍼딜,PEDISON 바디,여성청결제,PEDISON 바디 | 여성청결제,,PEDISON 바디 | 여성청결제@,483648529,,,,,,,,
G마켓,2024- 09-30,2024- 10-02,!슈퍼딜,BATHPA,스크럽워시,BATHPA | 스크럽워시,,BATHPA | 스크럽워시@,2397735259,,,,,,,,
G마켓,2024- 10-07,2024- 10-08,!슈퍼딜,BATHPA,스크럽워시,BATHPA | 스크럽워시,,BATHPA | 스크럽워시@,2397735259,,,,,,,,
옥션,2024- 10-03,2024- 10-04,!올킬,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,B619607455,,,,,,,,
옥션,2024- 10-06,2024- 10-07,!올킬,BATHPA,스크럽워시,BATHPA | 스크럽워시,,BATHPA | 스크럽워시@,C561340751,,,,,,,,
옥션,2024- 10-07,2024- 10-08,!올킬,PEDISON 바디,데오드바디워시,PEDISON 바디 | 데오드바디워시,,PEDISON 바디 | 데오드바디워시@,B872317852,,,,,,,,
옥션,2024- 10-08,2024- 10-10,!올킬,BATHPA,바스솔트,BATHPA | 바스솔트,1+1,BATHPA | 바스솔트@1+1,B581099953,,,,,,,,
옥션,2024- 10-08,2024- 10-10,!올킬,CHARCHAR,헤어세럼,CHARCHAR | 헤어세럼,,CHARCHAR | 헤어세럼@,B687962411,,,,,,,,
GS이숍,2024- 10-11,2024- 10-14,!타임특가,CERACLINIC,노워시트리트먼트,CERACLINIC | 노워시트리트먼트,1+1,CERACLINIC | 노워시트리트먼트@1+1,99116306001,,,,,,,,
GS이숍,2024- 10-12,2024- 10-14,!타임특가,FRAIJOUR,어성초수분크림,FRAIJOUR | 어성초수분크림,1+1,FRAIJOUR | 어성초수분크림@1+1,1002564011001,,,,,,,,
G마켓,2024- 10-10,2024- 10-11,!슈퍼딜,ROSEMINE,키스핸드크림,ROSEMINE | 키스핸드크림,1+1+1+1,ROSEMINE | 키스핸드크림@1+1+1+1,1686132991,,,,,,,,
G마켓,2024- 10-12,2024- 10-14,!슈퍼딜,ROSEMINE,퍼퓸드핸드크림,ROSEMINE | 퍼퓸드핸드크림,1+1+1+1,ROSEMINE | 퍼퓸드핸드크림@1+1+1+1,1635199047,,,,,,,,
G마켓,2024- 10-13,2024- 10-14,!타임특가,MIMI 모먼트,핸드워시,MIMI 모먼트 | 핸드워시,,MIMI 모먼트 | 핸드워시@,1621412261,,,,,,,,
옥션,2024- 10-13,2024- 10-14,!올킬,ROSEMINE,키스핸드크림,ROSEMINE | 키스핸드크림,1+1+1+1,ROSEMINE | 키스핸드크림@1+1+1+1,B615183169,,,,,,,,
G마켓,2024- 10-18,2024- 10-21,!슈퍼딜,ROSEMINE,키스핸드크림,ROSEMINE | 키스핸드크림,1+1+1+1,ROSEMINE | 키스핸드크림@1+1+1+1,1686132991,,,,,,,,
G마켓,2024- 10-18,2024- 10-21,!슈퍼딜,PEDISON 바디,여성청결제,PEDISON 바디 | 여성청결제,1+1,PEDISON 바디 | 여성청결제@1+1,483648529,,,,,,,,
