사이트,시작일,종료일,구좌,브랜드,상품명,프로모션,사은품/주요 메세지,프로모션 출력,상품코드 1,상품코드 2,상품코드 3,상품코드 4,상품코드 5,상품코드 6,상품코드 7,상품코드 8,상품코드 9
GS이숍,2025- 08-05,2025- 08-07,!타임특가,FRAIJOUR,쑥크림,FRAIJOUR | 쑥크림,1+1,FRAIJOUR | 쑥크림@1+1,50703532,,,,,,,,
옥션,2025- 07-30,2025- 07-31,!올킬,ROERANCE,로에랑스,ROERANCE | 로에랑스,1+1,ROERANCE | 로에랑스@1+1,B619607455,,,,,,,,
GS이숍,2025- 07-26,2025- 07-29,!오늘의특가,BORDO,풋팩,BORDO | 풋팩,1+1+1,BORDO | 풋팩@1+1+1,26363283,,,,,,,,
GS이숍,2025- 07-30,2025- 07-31,!오늘의특가,BATHPA,바스파,BATHPA | 바스파,,BATHPA | 바스파@,1009799783,,,,,,,,
GS이숍,2025- 07-31,2025- 08-01,!오늘의특가,PEDISON 바디,데오드 바디워시,PEDISON 바디 | 데오드 바디워시,1+1,PEDISON 바디 | 데오드 바디워시@1+1,26550330,,,,,,,,
스마트스토어,2025- 07-31,2025- 08-15,!!원뿔템,CERACLINIC,헤어팩,CERACLINIC | 헤어팩,1+1,CERACLINIC | 헤어팩@1+1,10537633565,,,,,,,,
스마트스토어,2025- 08-01,2025- 08-16,!!원뿔템,MIMI 모먼트,핸드워시,MIMI 모먼트 | 핸드워시,1+1,MIMI 모먼트 | 핸드워시@1+1,4849030328,,,,,,,,
G마켓,2025- 08-04,2025- 08-05,!슈퍼딜,ROERANCE,로에랑스,ROERANCE | 로에랑스,1+1,ROERANCE | 로에랑스@1+1,832114998,,,,,,,,
GS이숍,2025- 08-11,2025- 08-12,!만원의 행복,CERACLINIC,헤어팩 600ml,CERACLINIC | 헤어팩 600ml,,CERACLINIC | 헤어팩 600ml@,1081628034,,,,,,,,
GS이숍,2025- 08-11,2025- 08-12,!만원의 행복,CHARCHAR,쿨링 바디워시,CHARCHAR | 쿨링 바디워시,,CHARCHAR | 쿨링 바디워시@,1080359666,,,,,,,,
GS이숍,2025- 08-03,2025- 08-04,!그레잇 썬데이(연합),BATHPA,바스파,BATHPA | 바스파,1+1,BATHPA | 바스파@1+1,1035938051,,,,,,,,
홈앤쇼핑,2025- 08-06,2025- 08-07,!파트너딜,BATHPA,바디스크럽,BATHPA | 바디스크럽,1+1+1,BATHPA | 바디스크럽@1+1+1,42782040,,,,,,,,
GS이숍,2025- 08-07,2025- 08-08,!!MDPICK 하루특가,ROERANCE,로에랑스 바디미스트,ROERANCE | 로에랑스 바디미스트,1+1,ROERANCE | 로에랑스 바디미스트@1+1,36368525,,,,,,,,
GS이숍,2025- 08-07,2025- 08-08,!!MDPICK 하루특가,CHARCHAR,녹두폼,CHARCHAR | 녹두폼,1+1+1+1,CHARCHAR | 녹두폼@1+1+1+1,1066344976,,,,,,,,
옥션,2025- 08-13,2025- 08-14,!빡쎄일,ROERANCE,로에랑스,ROERANCE | 로에랑스,1+1,ROERANCE | 로에랑스@1+1,B619607455,,,,,,,,
카카오 톡스토어,2025- 08-15,2025- 08-19,!톡딜(패션뷰티),CHARCHAR,쿨링바디워시,CHARCHAR | 쿨링바디워시,,CHARCHAR | 쿨링바디워시@,524961999,,,,,,,,
GS이숍,2025- 08-18,2025- 08-19,!!만원의 행복,CERACLINIC,앰플샴푸,CERACLINIC | 앰플샴푸,,CERACLINIC | 앰플샴푸@,1061714750,,,,,,,,
GS이숍,2025- 08-17,2025- 08-19,!!띠꿀,CHARCHAR,라이스 폼클렌징,CHARCHAR | 라이스 폼클렌징,1+1+1+1,CHARCHAR | 라이스 폼클렌징@1+1+1+1,1091144375,,,,,,,,
GS이숍,2025- 08-19,2025- 08-20,!!타임특가,CHARCHAR,녹두 폼클렌징,CHARCHAR | 녹두 폼클렌징,1+1+1+1,CHARCHAR | 녹두 폼클렌징@1+1+1+1,1066344976,,,,,,,,
GS이숍,2025- 08-19,2025- 08-20,!!타임특가,ROSEMINE,바디워시&로션,ROSEMINE | 바디워시&로션,1+1,ROSEMINE | 바디워시&로션@1+1,17435418,,,,,,,,
GS이숍,2025- 08-15,2025- 08-18,!!썸머슈퍼세일,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,36368525,,,,,,,,
GS이숍,2025- 08-14,2025- 08-18,!!하루만특가,CERACLINIC,앰플밤,CERACLINIC | 앰플밤,1+1,CERACLINIC | 앰플밤@1+1,1047273130,,,,,,,,
GS이숍,2025- 08-14,2025- 08-18,!!하루만특가,BATHPA,스크럽 바디워시,BATHPA | 스크럽 바디워시,1+1,BATHPA | 스크럽 바디워시@1+1,1035938051,,,,,,,,
GS이숍,2025- 08-14,2025- 08-18,!!하루만특가,CERACLINIC,세라클리닉 퀀치,CERACLINIC | 세라클리닉 퀀치,1+1,CERACLINIC | 세라클리닉 퀀치@1+1,99116306,,,,,,,,
스마트스토어,2025- 08-04,2025- 08-18,!!원뿔템,PEDISON 바디,소다 여성 청결제,PEDISON 바디 | 소다 여성 청결제,1+1,PEDISON 바디 | 소다 여성 청결제@1+1,5620994880,,,,,,,,
홈앤쇼핑,2025- 08-09,2025- 08-11,!파트너딜,BATHPA,바디스크럽,BATHPA | 바디스크럽,1+1+1,BATHPA | 바디스크럽@1+1+1,42782040,,,,,,,,
G마켓,2025- 08-17,2025- 08-18,!빡세일,ROERANCE,로에랑스,ROERANCE | 로에랑스,1+1,ROERANCE | 로에랑스@1+1,832114998,,,,,,,,
옥션,2025- 08-22,2025- 08-23,!끝장세일,ROERANCE,로에랑스,ROERANCE | 로에랑스,1+1,ROERANCE | 로에랑스@1+1,B619607455,,,,,,,,
GS이숍,2025- 08-20,2025- 08-22,!!타임특가,FRAIJOUR,모이스춰 프로토너,FRAIJOUR | 모이스춰 프로토너,1+1,FRAIJOUR | 모이스춰 프로토너@1+1,54741711,,,,,,,,
GS이숍,2025- 08-23,2025- 08-25,!!만원의 행복,CERACLINIC,뿌리는 트리트먼트 200ml,CERACLINIC | 뿌리는 트리트먼트 200ml,1+1,CERACLINIC | 뿌리는 트리트먼트 200ml@1+1,99116306001,,,,,,,,
GS이숍,2025- 08-22,2025- 08-28,!!슈퍼팔월,FRAIJOUR,자연약쑥 토너 500ml,FRAIJOUR | 자연약쑥 토너 500ml,1+1,FRAIJOUR | 자연약쑥 토너 500ml@1+1,21606783,,,,,,,,
홈앤쇼핑,2025- 08-18,2025- 08-19,!파트너딜,BATHPA,바디스크럽,BATHPA | 바디스크럽,1+1+1,BATHPA | 바디스크럽@1+1+1,42782040,,,,,,,,
홈앤쇼핑,2025- 08-25,2025- 08-28,!파트너딜,BATHPA,바디스크럽,BATHPA | 바디스크럽,1+1+1,BATHPA | 바디스크럽@1+1+1,42782040,,,,,,,,
GS이숍,2025- 08-27,2025- 08-29,!!만원의 행복,PEDISON 바디,한방여성청결제,PEDISON 바디 | 한방여성청결제,1+1,PEDISON 바디 | 한방여성청결제@1+1,18182254,,,,,,,,
GS이숍,2025- 09-06,2025- 09-08,!!만원의 행복,CHARCHAR,헤어세럼 200ml,CHARCHAR | 헤어세럼 200ml,,CHARCHAR | 헤어세럼 200ml@,36527089,,,,,,,,
GS이숍,2025- 09-08,2025- 09-10,!!만원의 행복,CERACLINIC,헤어팩 600ml,CERACLINIC | 헤어팩 600ml,,CERACLINIC | 헤어팩 600ml@,1081628034,,,,,,,,
GS이숍,2025- 09-03,2025- 09-04,!!타임특가,FRAIJOUR,자연약쑥 토너 500ml,FRAIJOUR | 자연약쑥 토너 500ml,1+1,FRAIJOUR | 자연약쑥 토너 500ml@1+1,21606783,,,,,,,,
GS이숍,2025- 09-08,2025- 09-10,!!타임특가,CHARCHAR,라이스 폼,CHARCHAR | 라이스 폼,1+1+1+1,CHARCHAR | 라이스 폼@1+1+1+1,1091144375,,,,,,,,
G마켓,2025- 08-27,2025- 08-28,!무지싸,BATHPA,바디스크럽,BATHPA | 바디스크럽,1+1,BATHPA | 바디스크럽@1+1,2397735259,,,,,,,,
홈앤쇼핑,2025- 08-31,2025- 09-01,!파트너딜,BATHPA,바디스크럽,BATHPA | 바디스크럽,1+1+1,BATHPA | 바디스크럽@1+1+1,42782040,,,,,,,,
GS이숍,2025- 09-21,2025- 09-22,!!티꿀,ROSEMINE,스팀소프트,ROSEMINE | 스팀소프트,5+1,ROSEMINE | 스팀소프트@5+1,1059355721,,,,,,,,
GS이숍,2025- 09-04,2025- 09-05,!!뷰티탭,ROSEMINE,로즈마인 워시&로션,ROSEMINE | 로즈마인 워시&로션,,ROSEMINE | 로즈마인 워시&로션@,17173279,,,,,,,,
GS이숍,2025- 09-04,2025- 09-05,!!뷰티탭,ROERANCE,로에랑스 바디미스트,ROERANCE | 로에랑스 바디미스트,1+1,ROERANCE | 로에랑스 바디미스트@1+1,36368525,,,,,,,,
GS이숍,2025- 09-05,2025- 09-08,!!뷰티탭,PEDISON 바디,한방 청결제,PEDISON 바디 | 한방 청결제,1+1,PEDISON 바디 | 한방 청결제@1+1,18182254,,,,,,,,
GS이숍,2025- 09-05,2025- 09-08,!!뷰티탭,CHARCHAR,녹두 폼클렌징,CHARCHAR | 녹두 폼클렌징,1+1+1+1,CHARCHAR | 녹두 폼클렌징@1+1+1+1,1066344976,,,,,,,,
홈앤쇼핑,2025- 09-09,2025- 09-10,!파트너딜,BATHPA,바디스크럽,BATHPA | 바디스크럽,1+1+1,BATHPA | 바디스크럽@1+1+1,42782040,,,,,,,,
GS이숍,2025- 09-12,2025- 09-15,!!타임특가,PEDISON 헤어,헤어 실크미스트,PEDISON 헤어 | 헤어 실크미스트,1+1,PEDISON 헤어 | 헤어 실크미스트@1+1,24115217,,,,,,,,
GS이숍,2025- 09-13,2025- 09-15,!!만원의 행복,CERACLINIC,앰플 오일,CERACLINIC | 앰플 오일,,CERACLINIC | 앰플 오일@,1047352521,,,,,,,,
GS이숍,2025- 09-13,2025- 10-01,!!판타지추석,ROSEMINE,스팀소프트,ROSEMINE | 스팀소프트,5+1,ROSEMINE | 스팀소프트@5+1,1059355721,,,,,,,,
GS이숍,2025- 09-13,2025- 10-01,!!판타지추석,ROSEMINE,아로마 리 고요,ROSEMINE | 아로마 리 고요,,ROSEMINE | 아로마 리 고요@,1073422186,,,,,,,,
GS이숍,2025- 09-14,2025- 09-15,!!하루특가,ROERANCE,로에랑스 바디미스트,ROERANCE | 로에랑스 바디미스트,1+1,ROERANCE | 로에랑스 바디미스트@1+1,36368525,,,,,,,,
GS이숍,2025- 09-21,2025- 09-23,!!만원의 행복,PEDISON 바디,밸런스 청결제,PEDISON 바디 | 밸런스 청결제,1+1,PEDISON 바디 | 밸런스 청결제@1+1,17632079,,,,,,,,
GS이숍,2025- 09-21,2025- 09-23,!!타임특가,ROERANCE,로에랑스 바디미스트,ROERANCE | 로에랑스 바디미스트,1+1,ROERANCE | 로에랑스 바디미스트@1+1,36368525,,,,,,,,
홈앤쇼핑,2025- 09-24,2025- 09-25,!파트너딜,ROSEMINE,스팀소프트,ROSEMINE | 스팀소프트,5+1,ROSEMINE | 스팀소프트@5+1,38745287,,,,,,,,
옥션,2025- 09-12,2025- 09-15,!올킬,ROERANCE,로에랑스,ROERANCE | 로에랑스,1+1,ROERANCE | 로에랑스@1+1,B619607455,,,,,,,,
G마켓,2025- 09-14,2025- 09-15,!슈퍼딜,ROERANCE,로에랑스,ROERANCE | 로에랑스,1+1,ROERANCE | 로에랑스@1+1,832114998,,,,,,,,
GS이숍,2025- 09-28,2025- 09-29,!!만원의 행복,CERACLINIC,컬링크림,CERACLINIC | 컬링크림,1+1,CERACLINIC | 컬링크림@1+1,1057889457,,,,,,,,
홈앤쇼핑,2025- 09-29,2025- 09-30,!!파트너 딜,BATHPA,스크럽 바디워시,BATHPA | 스크럽 바디워시,1+1,BATHPA | 스크럽 바디워시@1+1,42782040,,,,,,,,
홈앤쇼핑,2025- 09-29,2025- 09-30,!!파트너 딜,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,42782041,,,,,,,,
홈앤쇼핑,2025- 09-29,2025- 09-30,!!파트너 딜,BATHPA,바쓰솔트 1200g,BATHPA | 바쓰솔트 1200g,1+1,BATHPA | 바쓰솔트 1200g@1+1,47876992,,,,,,,,
GS이숍,2025- 09-29,2025- 09-30,!!카톡플친,ROSEMINE,로즈마인 스팀 소프트,ROSEMINE | 로즈마인 스팀 소프트,5+1,ROSEMINE | 로즈마인 스팀 소프트@5+1,1059355721,,,,,,,,
GS이숍,2025- 09-29,2025- 09-30,!!카톡플친,ROSEMINE,아로마리 고요,ROSEMINE | 아로마리 고요,,ROSEMINE | 아로마리 고요@,1073422186,,,,,,,,
GS이숍,2025- 10-09,2025- 10-13,!!만원의 행복,CERACLINIC,헤어팩 600ml,CERACLINIC | 헤어팩 600ml,,CERACLINIC | 헤어팩 600ml@,1061714750,,,,,,,,
GS이숍,2025- 10-11,2025- 10-14,!!만원의 행복,CERACLINIC,퀀치 200ml ,CERACLINIC | 퀀치 200ml ,1+1,CERACLINIC | 퀀치 200ml @1+1,99116306,,,,,,,,
GS이숍,2025- 10-12,2025- 10-14,!!만원의 행복,ROSEMINE,핸드크림 60ml,ROSEMINE | 핸드크림 60ml,10,ROSEMINE | 핸드크림 60ml@10,1041513919,,,,,,,,
GS이숍,2025- 10-13,2025- 10-15,!!뷰티탭,ROSEMINE,로즈마인 스팀소프트,ROSEMINE | 로즈마인 스팀소프트,5+1,ROSEMINE | 로즈마인 스팀소프트@5+1,1059355721,,,,,,,,
GS이숍,2025- 10-13,2025- 10-15,!!뷰티탭,ROERANCE,바디미스트 ,ROERANCE | 바디미스트 ,1+1,ROERANCE | 바디미스트 @1+1,36368525,,,,,,,,
카카오 톡스토어,2025- 10-17,2025- 10-21,!가을패션뷰티,ROSEMINE,키스바이 스텔라리,ROSEMINE | 키스바이 스텔라리,,ROSEMINE | 키스바이 스텔라리@,510417411,,,,,,,,
카카오 톡스토어,2025- 10-17,2025- 10-21,!가을패션뷰티,CHARCHAR,고농축 헤어세럼,CHARCHAR | 고농축 헤어세럼,,CHARCHAR | 고농축 헤어세럼@,97606574,,,,,,,,
카카오 톡스토어,2025- 10-17,2025- 10-21,!가을패션뷰티,PEDISON 바디,DO 소다 청결제,PEDISON 바디 | DO 소다 청결제,1+1,PEDISON 바디 | DO 소다 청결제@1+1,100023251,,,,,,,,
GS이숍,2025- 10-03,2025- 10-10,!!티꿀,CHARCHAR,녹두폼,CHARCHAR | 녹두폼,1+1+1+1,CHARCHAR | 녹두폼@1+1+1+1,1066344976,,,,,,,,
GS이숍,2025- 10-08,2025- 10-10,!!맴버십특가 MD추천,ROERANCE,로에랑스,ROERANCE | 로에랑스,1+1,ROERANCE | 로에랑스@1+1,36368525,,,,,,,,
GS이숍,2025- 10-18,2025- 10-21,!!만원의 행복,PEDISON 헤어,헤어미스트,PEDISON 헤어 | 헤어미스트,1+1,PEDISON 헤어 | 헤어미스트@1+1,24115217,,,,,,,,
GS이숍,2025- 10-17,2025- 10-21,!!맴버십특가,ROERANCE,로에랑스,ROERANCE | 로에랑스,1+1,ROERANCE | 로에랑스@1+1,36368525,,,,,,,,
홈앤쇼핑,2025- 10-13,2025- 10-15,!!파트너 딜,BATHPA,스크럽 바디워시,BATHPA | 스크럽 바디워시,1+1,BATHPA | 스크럽 바디워시@1+1,42782040,,,,,,,,
홈앤쇼핑,2025- 10-13,2025- 10-15,!!파트너 딜,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,42782041,,,,,,,,
홈앤쇼핑,2025- 10-13,2025- 10-15,!!파트너 딜,BATHPA,바쓰솔트 1200g,BATHPA | 바쓰솔트 1200g,1+1,BATHPA | 바쓰솔트 1200g@1+1,47876992,,,,,,,,
홈앤쇼핑,2025- 10-17,2025- 10-20,!!파트너 딜,BATHPA,스크럽 바디워시,BATHPA | 스크럽 바디워시,1+1,BATHPA | 스크럽 바디워시@1+1,42782040,,,,,,,,
카카오 톡스토어,2025- 10-20,2025- 11-03,!카카오쇼핑페스타,CERACLINIC,헤어팩 600ml,CERACLINIC | 헤어팩 600ml,,CERACLINIC | 헤어팩 600ml@,531878226,,,,,,,,
카카오 톡스토어,2025- 10-20,2025- 11-03,!카카오쇼핑페스타,BATHPA,아로마틱 바디오일,BATHPA | 아로마틱 바디오일,,BATHPA | 아로마틱 바디오일@,328757753,,,,,,,,
카카오 톡스토어,2025- 10-20,2025- 11-03,!카카오쇼핑페스타,ROSEMINE,핸드크림 60ml,ROSEMINE | 핸드크림 60ml,10,ROSEMINE | 핸드크림 60ml@10,113751930,,,,,,,,
카카오 톡스토어,2025- 10-20,2025- 11-03,!카카오쇼핑페스타,ROSEMINE,바디워시&바디로션,ROSEMINE | 바디워시&바디로션,1+1,ROSEMINE | 바디워시&바디로션@1+1,98494112,,,,,,,,
홈앤쇼핑,2025- 10-21,2025- 10-22,!!타임특가,BATHPA,스크럽 바디워시,BATHPA | 스크럽 바디워시,1+1,BATHPA | 스크럽 바디워시@1+1,42782040,,,,,,,,
카카오 톡스토어,2025- 11-05,2025- 11-10,!카카오톡딜,PEDISON 바디,여성 청결제,PEDISON 바디 | 여성 청결제,1+1,PEDISON 바디 | 여성 청결제@1+1,99869714,,,,,,,,
G마켓,2025- 10-27,2025- 11-04,!슈퍼딜(시스템),PEDISON 바디,여성 청결제 ,PEDISON 바디 | 여성 청결제 ,1+1,PEDISON 바디 | 여성 청결제 @1+1,483648529,,,,,,,,
G마켓,2025- 10-27,2025- 11-04,!슈퍼딜(시스템),MIMI 바디,핸드워시,MIMI 바디 | 핸드워시,1+1,MIMI 바디 | 핸드워시@1+1,1621412261,,,,,,,,
G마켓,2025- 10-27,2025- 11-04,!슈퍼딜(시스템),BATHPA,바디스크럽,BATHPA | 바디스크럽,,BATHPA | 바디스크럽@,2397735259,,,,,,,,
스마트스토어,2025- 10-29,2025- 11-12,!!넾다쎄일,BATHPA,바쓰솔트 1200g,BATHPA | 바쓰솔트 1200g,,BATHPA | 바쓰솔트 1200g@,3135939501,,,,,,,,
스마트스토어,2025- 10-29,2025- 11-12,!!넾다쎄일,MIMI 바디,핸드워시,MIMI 바디 | 핸드워시,1+1,MIMI 바디 | 핸드워시@1+1,4849030328,,,,,,,,
스마트스토어,2025- 10-29,2025- 11-12,!!넾다쎄일,MIMI 퍼퓸,드레스미스트,MIMI 퍼퓸 | 드레스미스트,1+1,MIMI 퍼퓸 | 드레스미스트@1+1,334445895,,,,,,,,
스마트스토어,2025- 10-29,2025- 11-12,!!넾다쎄일,BATHPA,스크럽바디워시,BATHPA | 스크럽바디워시,1+1,BATHPA | 스크럽바디워시@1+1,9025168973,,,,,,,,
스마트스토어,2025- 10-29,2025- 11-12,!!넾다쎄일,ROSEMINE,바디워시&로션,ROSEMINE | 바디워시&로션,1+1,ROSEMINE | 바디워시&로션@1+1,4687999216,,,,,,,,
스마트스토어,2025- 10-29,2025- 11-12,!!넾다쎄일,PEDISON 바디,여성 청결제,PEDISON 바디 | 여성 청결제,1+1,PEDISON 바디 | 여성 청결제@1+1,758297134,,,,,,,,
스마트스토어,2025- 10-29,2025- 11-12,!!넾다쎄일,PEDISON 바디,유산균 여성 청결제,PEDISON 바디 | 유산균 여성 청결제,1+1,PEDISON 바디 | 유산균 여성 청결제@1+1,8912999917,,,,,,,,
스마트스토어,2025- 10-29,2025- 11-12,!!넾다쎄일,PEDISON 바디,소다 청결제,PEDISON 바디 | 소다 청결제,1+1,PEDISON 바디 | 소다 청결제@1+1,5620994880,,,,,,,,
홈앤쇼핑,2025- 10-23,2025- 10-24,!!타임특가,BATHPA,스크럽 바디워시,BATHPA | 스크럽 바디워시,1+1+1,BATHPA | 스크럽 바디워시@1+1+1,42782040,,,,,,,,
스마트스토어,2025- 10-29,2025- 11-12,!!넾다쎄일,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,2508195294,,,,,,,,
GS이숍,2025- 11-05,2025- 11-07,!!티꿀,CHARCHAR,라이스 폼 클렌징,CHARCHAR | 라이스 폼 클렌징,1+1+1+1,CHARCHAR | 라이스 폼 클렌징@1+1+1+1,1091144375,,,,,,,,
GS이숍,2025- 11-07,2025- 11-10,!!타임특가,CHARCHAR,녹두 폼 클렌징,CHARCHAR | 녹두 폼 클렌징,1+1+1+1,CHARCHAR | 녹두 폼 클렌징@1+1+1+1,1066344976,,,,,,,,
홈앤쇼핑,2025- 11-04,2025- 11-05,!!헤어바디전(파트너딜),BATHPA,스크럽 바디워시,BATHPA | 스크럽 바디워시,1+1+1,BATHPA | 스크럽 바디워시@1+1+1,42782040,,,,,,,,
GS이숍,2025- 11-17,2025- 11-18,!!타임특가,CHARCHAR,앰플오일,CHARCHAR | 앰플오일,1+1,CHARCHAR | 앰플오일@1+1,1047352521,,,,,,,,
홈앤쇼핑,2025- 11-06,2025- 11-07,!!빅적립데이(파트너딜),BATHPA,스크럽 바디워시,BATHPA | 스크럽 바디워시,1+1+1,BATHPA | 스크럽 바디워시@1+1+1,42782040,,,,,,,,
GS이숍,2025- 11-07,2025- 11-10,!!만원의 행복,CERACLINIC,헤어팩 600ml,CERACLINIC | 헤어팩 600ml,,CERACLINIC | 헤어팩 600ml@,1081628034,,,,,,,,
G마켓,2025- 11-12,2025- 11-18,!슈퍼딜(시스템),VALMONA,서리태 샴푸 트리트먼트,VALMONA | 서리태 샴푸 트리트먼트,1+1,VALMONA | 서리태 샴푸 트리트먼트@1+1,1476659363,,,,,,,,
G마켓,2025- 11-12,2025- 11-18,!슈퍼딜(시스템),ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,832114998,,,,,,,,
카카오 톡스토어,2025- 11-17,2025- 11-25,!카카오톡딜위크,ROSEMINE,키스바이 스텔라리,ROSEMINE | 키스바이 스텔라리,,ROSEMINE | 키스바이 스텔라리@,510417411,,,,,,,,
카카오 톡스토어,2025- 11-17,2025- 11-25,!카카오톡딜위크,BATHPA,스크럽바디워시,BATHPA | 스크럽바디워시,,BATHPA | 스크럽바디워시@,392687145,,,,,,,,
카카오 톡스토어,2025- 11-17,2025- 11-25,!카카오톡딜위크,FRAIJOUR,쑥토너,FRAIJOUR | 쑥토너,1+1,FRAIJOUR | 쑥토너@1+1,98650419,,,,,,,,
카카오 톡스토어,2025- 11-17,2025- 11-25,!카카오톡딜위크,FRAIJOUR,샴바드,FRAIJOUR | 샴바드,1+1,FRAIJOUR | 샴바드@1+1,546414251,,,,,,,,
G마켓,2025- 11-15,2025- 11-19,!슈퍼딜(시스템),FRAIJOUR,프레쥬 쑥토너,FRAIJOUR | 프레쥬 쑥토너,1+1,FRAIJOUR | 프레쥬 쑥토너@1+1,1416294630,,,,,,,,
G마켓,2025- 11-15,2025- 11-19,!슈퍼딜(시스템),ROSEMINE,바디워시&바디로션,ROSEMINE | 바디워시&바디로션,1+1,ROSEMINE | 바디워시&바디로션@1+1,715862905,,,,,,,,
G마켓,2025- 11-15,2025- 11-19,!슈퍼딜(시스템),BATHPA,스크럽 바디워시 ,BATHPA | 스크럽 바디워시 ,,BATHPA | 스크럽 바디워시 @,2397735259,,,,,,,,
GS이숍,2025- 11-19,2025- 11-21,!!만원의 행복,ROSEMINE,핸드크림,ROSEMINE | 핸드크림,10종,ROSEMINE | 핸드크림@10종,1041513919,,,,,,,,
GS이숍,2025- 11-21,2025- 11-24,!!만원의 행복,CERACLINIC,앰플밤,CERACLINIC | 앰플밤,1+1,CERACLINIC | 앰플밤@1+1,1047273130,,,,,,,,
GS이숍,2025- 11-25,2025- 11-26,!!타임특가,MIMI 바디,드레스미스트,MIMI 바디 | 드레스미스트,1+1,MIMI 바디 | 드레스미스트@1+1,26615058,,,,,,,,
홈앤쇼핑,2025- 11-17,2025- 11-20,!!파트너딜,CERACLINIC,헤어팩 250ml,CERACLINIC | 헤어팩 250ml,1+0,CERACLINIC | 헤어팩 250ml@1+0,49065510,,,,,,,,
옥션,2025- 11-19,2025- 11-26,!올킬,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,B619607455,,,,,,,,
G마켓,2025- 11-21,2025- 11-28,!슈퍼딜(시스템),BATHPA,스크럽 바디워시 ,BATHPA | 스크럽 바디워시 ,,BATHPA | 스크럽 바디워시 @,2397735259,,,,,,,,
G마켓,2025- 11-21,2025- 11-28,!슈퍼딜(시스템),BATHPA,바쓰쏠트 1200,BATHPA | 바쓰쏠트 1200,1+1,BATHPA | 바쓰쏠트 1200@1+1,1402797709,,,,,,,,
G마켓,2025- 11-21,2025- 11-28,!슈퍼딜(시스템),PEDISON 바디,여성 청결제 ,PEDISON 바디 | 여성 청결제 ,1+1,PEDISON 바디 | 여성 청결제 @1+1,483648529,,,,,,,,
카카오 톡스토어,2025- 12-01,2025- 12-09,!카카오톡딜위크,ROSEMINE,핸드크림,ROSEMINE | 핸드크림,10,ROSEMINE | 핸드크림@10,113751930,,,,,,,,
카카오 톡스토어,2025- 12-01,2025- 12-09,!카카오톡딜위크,CERACLINIC,헤어팩 250ml,CERACLINIC | 헤어팩 250ml,,CERACLINIC | 헤어팩 250ml@,319371995,,,,,,,,
카카오 톡스토어,2025- 12-01,2025- 12-09,!카카오톡딜위크,CHARCHAR,헤어세럼 200ml,CHARCHAR | 헤어세럼 200ml,,CHARCHAR | 헤어세럼 200ml@,97606574,,,,,,,,
공영홈쇼핑,2025- 12-08,2025- 12-09,!라이브방송,ROERANCE,바디미스트 250ml,ROERANCE | 바디미스트 250ml,,ROERANCE | 바디미스트 250ml@,10578098,,,,,,,,
카카오 톡스토어,2025- 12-08,2025- 12-16,!카카오톡딜위크,BATHPA,바디스크럽,BATHPA | 바디스크럽,1+1,BATHPA | 바디스크럽@1+1,52680759,,,,,,,,
카카오 톡스토어,2025- 12-08,2025- 12-16,!카카오톡딜위크,CERACLINIC,앰플밤,CERACLINIC | 앰플밤,1+1,CERACLINIC | 앰플밤@1+1,329166316,,,,,,,,
카카오 톡스토어,2025- 12-08,2025- 12-16,!카카오톡딜위크,CHARCHAR,라이스 폼클렌징,CHARCHAR | 라이스 폼클렌징,1+1+1+1,CHARCHAR | 라이스 폼클렌징@1+1+1+1,586816358,,,,,,,,
홈앤쇼핑,2025- 12-01,2025- 12-02,!!파트너딜,ROERANCE,바디미스트 ,ROERANCE | 바디미스트 ,1+1,ROERANCE | 바디미스트 @1+1,42782041,,,,,,,,
홈앤쇼핑,2025- 12-05,2025- 12-08,!!파트너딜,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,42782041,,,,,,,,
GS이숍,2025- 12-24,2025- 12-26,!!출첵특가,ROERANCE,보습로션,ROERANCE | 보습로션,1+1,ROERANCE | 보습로션@1+1,1100267588,,,,,,,,
G마켓,2025- 12-04,2025- 12-11,!슈퍼딜(시스템),ROERANCE,바디미스트,ROERANCE | 바디미스트,,ROERANCE | 바디미스트@,832114998,,,,,,,,
G마켓,2025- 12-04,2025- 12-11,!슈퍼딜(시스템),PEDISON 바디,유산균 청결제,PEDISON 바디 | 유산균 청결제,1+1,PEDISON 바디 | 유산균 청결제@1+1,3053567291,,,,,,,,
G마켓,2025- 12-04,2025- 12-11,!슈퍼딜(시스템),CHARCHAR,헤어세럼 200ml,CHARCHAR | 헤어세럼 200ml,,CHARCHAR | 헤어세럼 200ml@,1692731979,,,,,,,,
